Steel,C,Si,Mn,Cr,Mo,Ni,Al,Cu,ppmB,Pa,Rc,lnRc,Texp
GA01,0.13,0.27,0.22,0.08,0,0.06,0,0.22,0,1132.36,60,4.094344562,770
GA01,0.13,0.27,0.22,0.08,0,0.06,0,0.22,0,1132.36,8.5,2.140066163,805
GA01,0.13,0.27,0.22,0.08,0,0.06,0,0.22,0,1132.36,0.65,-0.430782916,825
GA01,0.13,0.27,0.21,0.08,0,0.06,0,0.22,0,1132.36,0.05,-2.995732274,840
GA01,0.13,0.27,0.21,0.08,0,0.06,0,0.22,0,1132.36,0.004,-5.521460918,855
GA02,0.19,0.5,1.29,0.09,0,0.07,0,0.25,0,1114.33,87.5,4.471638793,675
GA02,0.19,0.5,1.29,0.09,0,0.07,0,0.25,0,1114.33,12.5,2.525728644,725
GA02,0.19,0.5,1.29,0.09,0,0.07,0,0.25,0,1114.33,0.9,-0.105360516,760
GA02,0.19,0.5,1.29,0.09,0,0.07,0,0.25,0,1114.33,0.06,-2.813410717,790
GA03,0.2,0.64,1.27,0.12,0,0,0,0.21,0,1114.33,75,4.317488114,700
GA03,0.2,0.64,1.27,0.12,0,0,0,0.21,0,1114.33,10,2.302585093,750
GA03,0.2,0.64,1.27,0.12,0,0,0,0.21,0,1114.33,0.8,-0.223143551,770
GA03,0.2,0.64,1.27,0.12,0,0,0,0.21,0,1114.33,0.07,-2.659260037,780
GA04,0.23,0.57,1.53,0.06,0,0,0,0,0,1114.33,18.1,2.895911938,700
GA04,0.23,0.57,1.53,0.06,0,0,0,0,0,1114.33,1.05,0.048790164,740
GA04,0.23,0.57,1.53,0.06,0,0,0,0,0,1114.33,0.085,-2.465104022,760
GA05,0.23,0.51,1.88,0.03,0,0,0,0,0,1114.33,21.3,3.058707073,665
GA05,0.23,0.51,1.88,0.03,0,0,0,0,0,1114.33,1.15,0.139761942,720
GA05,0.23,0.51,1.88,0.03,0,0,0,0,0,1114.33,0.105,-2.253794929,730
GA05,0.23,0.51,1.88,0.03,0,0,0,0,0,1114.33,0.01,-4.605170186,740
GA06,0.42,0.4,2.28,0,0,0,0,0,0,1085.28,4.25,1.446918983,600
GA06,0.42,0.4,2.28,0,0,0,0,0,0,1085.28,1.35,0.300104592,635
GA06,0.42,0.4,2.28,0,0,0,0,0,0,1085.28,0.1,-2.302585093,670
GA06,0.42,0.4,2.28,0,0,0,0,0,0,1085.28,0.008,-4.828313737,690
GA07,0.44,0.31,0.59,0.18,0,0,0,0,0,1085.29,60,4.094344562,650
GA07,0.44,0.31,0.59,0.18,0,0,0,0,0,1085.29,8,2.079441542,690
GA07,0.44,0.31,0.59,0.18,0,0,0,0,0,1085.29,0.6,-0.510825624,710
GA07,0.44,0.31,0.59,0.18,0,0,0,0,0,1085.29,0.045,-3.101092789,725
GA07,0.44,0.31,0.59,0.18,0,0,0,0,0,1085.29,0.002,-6.214608098,750
Ga07,0.44,0.31,0.6,0.18,0,0,0,0,0,1234.61,35,3.555348061,630
Ga07,0.44,0.31,0.6,0.18,0,0,0,0,0,1234.61,10,2.302585093,670
Ga07,0.44,0.31,0.6,0.18,0,0,0,0,0,1234.61,0.6,-0.510825624,710
Ga07,0.44,0.31,0.6,0.18,0,0,0,0,0,1234.61,0.045,-3.101092789,725
Ga07,0.44,0.31,0.6,0.18,0,0,0,0,0,1234.61,0.002,-6.214608098,750
GA08,0.48,0.42,2.54,0,0,0,0,0,0,1076.1,4.88,1.58514522,575
GA08,0.48,0.42,2.54,0,0,0,0,0,0,1076.1,0.175,-1.742969305,630
GA08,0.48,0.42,2.54,0,0,0,0,0,0,1076.1,0.012,-4.422848629,650
GA09,0.35,0.3,0.68,1.3,0.08,0.25,0,0.23,0,1078.9,1.25,0.223143551,720
GA09,0.35,0.3,0.67,1.3,0.08,0.25,0,0.23,0,1078.9,0.05,-2.995732274,745
GA09,0.35,0.3,0.67,1.3,0.08,0.25,0,0.23,0,1078.9,0.005,-5.298317367,750
Ga09,0.35,0.3,0.7,1.3,0.08,0.25,0,0.23,0,1262.22,0.425,-0.85566611,710
Ga09,0.35,0.3,0.7,1.3,0.08,0.25,0,0.23,0,1262.22,0.06,-2.813410717,735
Ga09,0.35,0.3,0.7,1.3,0.08,0.25,0,0.23,0,1262.22,0.005,-5.298317367,745
GA10,0.44,0.3,0.83,1.24,0.07,0.28,0,0.22,0,1069.67,1,0,690
GA10,0.44,0.3,0.83,1.24,0.07,0.28,0,0.22,0,1069.67,0.06,-2.813410717,730
GA10,0.44,0.3,0.83,1.24,0.07,0.28,0,0.22,0,1069.67,0.004,-5.521460918,750
Ga10,0.44,0.3,0.85,1.24,0.06,0.28,0,0.22,0,1262.22,0.5,-0.693147181,690
Ga10,0.44,0.3,0.85,1.24,0.06,0.28,0,0.22,0,1262.22,0.06,-2.813410717,730
